Record,NYUDS_ID,Original_ID,Date,Latitude,Longitude,Description
64,NYUDS-BLM-PB-64,ny-newyorkcity-80,6/3/2020,40.6851078,-73.9782489,"baton, protester, push, shove"
65,NYUDS-BLM-PB-65,ny-newyorkcity-81,6/3/2020,40.6851078,-73.9782489,"baton, protester, push, shove, strike"
66,NYUDS-BLM-PB-66,ny-newyorkcity-23,6/4/2020,40.6656956,-73.9509033,"arrest, baton, beat, journalist, protester, shove, strike, throw"
67,NYUDS-BLM-PB-67,ny-newyorkcity-24,6/4/2020,40.693804,-73.9905544,"arrest, baton, choke, protester, strike"
68,NYUDS-BLM-PB-68,ny-newyorkcity-37,6/4/2020,40.7120659,-74.004574,"abuse-of-power, arrest, inhumane-treatment, protester"
69,NYUDS-BLM-PB-69,ny-newyorkcity-38,6/4/2020,40.7993739,-73.961277,"abuse-of-power, arrest, bystander"
70,NYUDS-BLM-PB-70,ny-newyorkcity-39,6/4/2020,40.6690594,-73.9472662,"arrest, baton, beat, bystander, inhumane-treatment, racial-profiling, zip-tie"
71,NYUDS-BLM-PB-71,ny-newyorkcity-40,6/4/2020,40.806283,-73.9223574,"abuse-of-power, arrest, legal-observer"
72,NYUDS-BLM-PB-72,ny-newyorkcity-25,6/4/2020,40.806283,-73.9223574,"arrest, baton, beat, less-lethal, pepper-spray, pregnant, protester, shield, spray, strike"
73,NYUDS-BLM-PB-73,ny-newyorkcity-47,6/4/2020,40.8072338,-73.920519,"abuse-of-power, arrest, inhumane-treatment, medic"
74,NYUDS-BLM-PB-74,ny-newyorkcity-43,6/4/2020,40.764361,-73.973066,"baton, journalist, shove, strike"
75,NYUDS-BLM-PB-75,ny-newyorkcity-44,6/4/2020,40.7993739,-73.961277,"abuse-of-power, arrest, bystander"
76,NYUDS-BLM-PB-76,ny-newyorkcity-46,6/4/2020,40.6976763,-73.992832,"abuse-of-power, hide-badge"
77,NYUDS-BLM-PB-77,ny-newyorkcity-65,6/4/2020,40.6830473,-73.9669762,"grab, protester, shove, throw"
78,NYUDS-BLM-PB-78,ny-newyorkcity-66,6/4/2020,40.6997763,-73.9522988,"protester, shove"
79,NYUDS-BLM-PB-79,ny-newyorkcity-67,6/4/2020,40.806283,-73.9223574,"arrest, choke, protester, punch, shove, strike"
80,NYUDS-BLM-PB-80,ny-newyorkcity-68,6/4/2020,40.806283,-73.9223574,"protester, shove"
81,NYUDS-BLM-PB-81,ny-newyorkcity-69,6/4/2020,40.7019419,-73.9579104,"arrest, protester, punch"
82,NYUDS-BLM-PB-82,ny-newyorkcity-70,6/4/2020,40.6830473,-73.9669762,"grab, protester, push, shove"
83,NYUDS-BLM-PB-83,ny-newyorkcity-101,6/4/2020,40.6941007,-73.9905591,"baton, protester, push, shove"
84,NYUDS-BLM-PB-84,ny-newyorkcity-41,6/5/2020,40.666299,-73.9530244,"bike, protester, push, shove"
85,NYUDS-BLM-PB-85,ny-newyorkcity-26,6/6/2020,40.6982906,-73.9848027,"arrest, beat, protester, punch, strike, tackle"
86,NYUDS-BLM-PB-86,ny-newyorkcity-49,6/28/2020,40.7316366,-73.9991034,"arrest, baton, beat, hide-badge, less-lethal, lgbtq+, pepper-spray, protester, shove, spray, strike, vehicle"
87,NYUDS-BLM-PB-87,ny-newyorkcity-51,6/28/2020,40.7322033,-73.9986267,"baton, protester, shove, strike"
88,NYUDS-BLM-PB-88,ny-newyorkcity-52,6/28/2020,40.7322138,-73.9986388,"protester, push, shove"
89,NYUDS-BLM-PB-89,ny-newyorkcity-50,6/30/2020,40.7124182,-74.0087051,"arrest, baton, beat, choke, hide-badge, protester, shove, strike, zip-tie"
90,NYUDS-BLM-PB-90,ny-newyorkcity-53,7/12/2020,40.6355789,-74.0223473,"arrest, grab, less-lethal, protester, push, shove, tase, taser"
91,NYUDS-BLM-PB-91,ny-newyorkcity-54,7/12/2020,40.6355789,-74.0223473,"bike, protester, shove"
92,NYUDS-BLM-PB-92,ny-newyorkcity-94,7/16/2020,40.7058134,-73.9981622,"arrest, inhumane-treatment, knee, shove, strike, tackle"
93,NYUDS-BLM-PB-93,ny-newyorkcity-96,7/16/2020,40.7718347,-73.7698317,"abuse-of-power, arrest, protester, punch, tackle"
94,NYUDS-BLM-PB-94,ny-newyorkcity-95,7/22/2020,40.7124182,-74.0087051,"arrest, homeless, protester"
95,NYUDS-BLM-PB-95,ny-newyorkcity-99,7/24/2020,40.7136898,-74.0053181,"arrest, baton, beat, bike, protester, shove, strike"
96,NYUDS-BLM-PB-96,ny-newyorkcity-98,7/25/2020,40.718918,-73.9891763,"abuse-of-power, arrest, protester"
97,NYUDS-BLM-PB-97,ny-newyorkcity-97,7/25/2020,40.7188905,-73.9891713,"protester, shield, shove"
98,NYUDS-BLM-PB-98,ny-newyorkcity-100,7/28/2020,40.7391905,-73.9821784,"abuse-of-power, arrest, protester"
99,NYUDS-BLM-PB-99,ny-newyorkcity-102,9/12/2020,40.8515213,-73.9375686,"protester, push, shove"
100,NYUDS-BLM-PB-100,ny-newyorkcity-103,9/17/2020,40.7141798,-74.0062972,"arrest, grab, protester, push, shove, tackle"
101,NYUDS-BLM-PB-101,ny-newyorkcity-104,9/17/2020,40.7097149,74.0117508,"arrest, protester, push, tackle"
102,NYUDS-BLM-PB-102,ny-newyorkcity-105,9/19/2020,40.7574221,-73.9890894,"arrest, grab, protester"
103,NYUDS-BLM-PB-103,ny-newyorkcity-106,9/26/2020,40.7337626,-74.0084911,"arrest, bystander, grab, protester, push, shove"
104,NYUDS-BLM-PB-104,ny-newyorkcity-107,10/5/2020,40.7300523,-73.9926555,"arrest, child, protester"
105,NYUDS-BLM-PB-105,ny-newyorkcity-108,10/7/2020,40.6888187,-73.9448449,"protester, threaten"
106,NYUDS-BLM-PB-106,ny-newyorkcity-109,10/21/2020,40.7047142,-74.0133129,"arrest, bike, protester, push, shove, tackle"
107,NYUDS-BLM-PB-107,ny-newyorkcity-110,10/21/2020,40.7045406,-74.0137151,"arrest, protester"
108,NYUDS-BLM-PB-108,ny-newyorkcity-111,10/27/2020,40.6887408,-73.9894258,"baton, bystander, property-destruction, strike"
109,NYUDS-BLM-PB-109,ny-newyorkcity-112,11/1/2020,40.7483593,-74.0058763,"arrest, journalist"
110,NYUDS-BLM-PB-110,ny-newyorkcity-113,11/4/2020,40.7303242,-74.0047987,"arrest, grab, protester, push, shove"
111,NYUDS-BLM-PB-111,ny-newyorkcity-114,11/4/2020,40.7323365,-73.9965724,"arrest, baton, protester, push, shove, strike, tackle"
